Tactic,Technique,Processed_Technique,mitigation
Reconnaissance,Active Scanning,active scanning,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
Reconnaissance,Gather Victim Host Information,gather victim host information,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
Reconnaissance,Gather Victim Identity Information,gather victim identity information,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
Reconnaissance,Gather Victim Network Information,gather victim network information,"This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
"
Reconnaissance,Gather Victim Org Information,gather victim org information,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
Reconnaissance,Phishing for Information,phishing information,Use anti-spoofing and email authentication mechanisms to filter messages based on validity checks of the sender domain (using SPF) and integrity of messages (using DKIM). Enabling these mechanisms within an organization (through policies such as DMARC) may enable recipients (intra-org and cross domain) to perform similar message filtering and validation.[
Reconnaissance,Search Closed Sources,search closed source,"This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
"
Reconnaissance,Search Open Technical Databases,search open technical database,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
Reconnaissance,Search Open Websites/Domains,search open websitesdomains,"Scan public code repositories for exposed credentials or other sensitive information before making commits. Ensure that any leaked credentials are removed from the commit history, not just the current latest version of the code."
Reconnaissance,Search Victim-Owned Websites,search victimowned website,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
Resource Development,Acquire Infrastructure,acquire infrastructure,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
Resource Development,Compromise Accounts,compromise account,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
Resource Development,Compromise Infrastructure,compromise infrastructure,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
Resource Development,Develop Capabilities,develop capability,"This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
"
Resource Development,Establish Accounts,establish account,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
Resource Development,Obtain Capabilities,obtain capability,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
Resource Development,Stage Capabilities,stage capability,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
Initial Access,Drive-by Compromise,driveby compromise,"Ensure all browsers and plugins kept updated can help prevent the exploit phase of this technique. Use modern browsers with security features turned on. 
Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.                                                                                                                            For malicious code served up through ads, adblockers can help prevent that code from executing in the first place.
Script blocking extensions can help prevent the execution of JavaScript that may commonly be used during the exploitation process.                     "
Initial Access,Exploit Public-Facing Application,exploit publicfacing application,Web Application Firewalls may be used to limit exposure of applications to prevent exploit traffic from reaching the application. Segment externally facing servers and services from the rest of the network with a DMZ or on separate hosting infrastructure.  Use least privilege for service accounts will limit what permissions the exploited process gets on the rest of the system.  Update software regularly by employing patch management for externally exposed applications. Regularly scan externally facing systems for vulnerabilities and establish procedures to rapidly patch systems when critical vulnerabilities are discovered through scanning and through public disclosure.
Initial Access,External Remote Services,external remote service,Disable or block remotely available services that may be unnecessary. Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems.  Use strong two-factor or multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials
Initial Access,Hardware Additions,hardware addition,"Block unknown devices and accessories by endpoint security configuration and monitoring agent.  Establish network access control policies, such as using device certificates and the 802.1x standard. [6] Restrict use of DHCP to registered devices to prevent unregistered devices from communicating with trusted systems."
Initial Access,Phishing,phishing,"Anti-virus can automatically quarantine suspicious files.  	
Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.  Use anti-spoofing and email authentication mechanisms to filter messages based on validity checks of the sender domain (using SPF) and integrity of messages (using DKIM)"
Initial Access,Replication Through Removable Media,replication removable medium,"Limit the use of USB devices and removable media within a network.  Disable Autorun if it is unnecessary. Disallow or restrict removable media at an organizational policy level if it is not required for business operations.  enable Attack Surface Reduction (ASR) rules to block unsigned/untrusted executable files (such as .exe, .dll, or .scr) from running from USB removable drives."
Initial Access,Supply Chain Compromise,supply chain compromise,"A patch management process should be implemented to check unused dependencies, unmaintained and/or previously vulnerable dependencies, unnecessary features, components, files, and documentation. Continuous monitoring of vulnerability sources and the use of automatic and manual code review tools should also be implemented as well. Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms. "
Initial Access,Trusted Relationship,trusted relationship,Require MFA for all delegated administrator accounts. Properly manage accounts and permissions used by parties in trusted relationships to minimize potential abuse by the party and if the party is compromised by an adversary.
Initial Access,Valid Accounts,valid account,"Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. Implement multi-factor authentication (MFA) across all account types, including default, local, domain, and cloud accounts, to prevent unauthorized access, even if credentials are compromised.  Audit domain and local accounts as well as their permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account."
Execution,Command and Scripting Interpreter,command scripting interpreter,Anti-virus can be used to automatically quarantine suspicious files. Inventory systems for unauthorized command and scripting interpreter installations. enable Attack Surface Reduction (ASR) rules to prevent Visual Basic and JavaScript scripts from executing potentially malicious downloaded content. Prevent user installation of unrequired command and scripting interpreters. Disable or remove any unnecessary or unused shells or interpreters. Script blocking extensions can help prevent the execution of scripts and HTA files that may commonly be used during the exploitation process. 
Execution,Container Administration Command,container administration command,"Use read-only containers, read-only file systems, and minimal images when possible to prevent the execution of commands. Enforce authentication and role-based access control on the container service to restrict users to the least privileges required."
Execution,Deploy Container,deploy container,"Limit communications with the container service to managed and secured channels, such as local Unix sockets or remote access via SSH. Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. "
Execution,Exploitation for Client Execution,exploitation client execution,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist.  Perform regular software updates to mitigate exploitation risk. Keeping software up-to-date with the latest security patches helps prevent adversaries from exploiting known vulnerabilities in client software, reducing the risk of successful attacks."
Execution,Inter-Process Communication,interprocess communication,"nable Attack Surface Reduction (ASR) rules to prevent DDE attacks and spawning of child processes from Office programs. Consider disabling embedded files in Office programs, such as OneNote, that do not work with Protected View."
Execution,Native API,native api,"Identify and block potentially malicious software executed that may be executed through this technique by using application control tools, like Windows Defender Application Contro, AppLocker, or Software Restriction Policies where appropriate. 
"
Execution,Scheduled Task/Job,scheduled taskjob,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges.
Execution,Shared Modules,shared module,Identify and block potentially malicious software executed through this technique by using application control tools capable of preventing unknown modules from being loaded.
Execution,Software Deployment Tools,software deployment tool,Patch deployment systems regularly to prevent potential remote access through Exploitation for Privilege Escalation. Grant access to application deployment systems only to a limited number of authorized administrators. Verify that account credentials that may be used to access deployment systems are unique and not used throughout the enterprise network. Ensure proper system isolation for critical network systems through use of firewalls. Ensure proper system and access isolation for critical network systems through use of multi-factor authentication. 
Execution,System Services,system service,Ensure that permissions disallow services that run at a higher permissions level from being created or interacted with by a user with a lower permission level.  Ensure that high permission level service binaries cannot be replaced or modified by users with a lower permission level. Ensure that permissions disallow services that run at a higher permissions level from being created or interacted with by a user with a lower permission level. 
Execution,User Execution,user execution,"If a link is being visited by a user, block unknown or unused files in transit by default that should not be downloaded or by policy from suspicious sites as a best practice to prevent some vectors, such as .scr, .exe, .pif, .cpl, etc.  Application control may be able to prevent the running of executables masquerading as other files. On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent executable files from running unless they meet a prevalence, age, or trusted list criteria and to prevent Office applications from creating potentially malicious executable content by blocking malicious code from being written to disk. "
Execution,Windows Management Instrumentation,window management instrumentation,"On Windows 10, enable Attack Surface Reduction (ASR) rules to block processes created by WMI commands from running. Note: many legitimate tools and applications utilize WMI for command execution. Prevent credential overlap across systems of administrator and privileged accounts.  "
Persistence,Account Manipulation,account manipulation,"Remove unnecessary and potentially abusable authentication and authorization mechanisms where possible. Use multi-factor authentication for user and privileged accounts. Configure access controls and firewalls to limit access to critical systems and domain controllers. Protect domain controllers by ensuring proper security configuration for critical servers to limit access by potentially unnecessary protocols and services, such as SMB file sharing. Do not allow domain administrator accounts to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems."
Persistence,BITS Jobs,bit job,"Modify network and/or host firewall rules, as well as other network controls, to only allow legitimate BITS traffic. Consider limiting access to the BITS interface to specific users or groups."
Persistence,Boot or Logon Autostart Execution,boot logon autostart execution,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Persistence,Boot or Logon Initialization Scripts,boot logon initialization script,Restrict write access to logon scripts to specific administrators. Ensure proper permissions are set for Registry hives to prevent users from modifying keys for logon scripts that may lead to persistence. 
Persistence,Browser Extensions,browser extension,Ensure operating systems and browsers are using the most current version. Only install browser extensions from trusted sources that can be verified.  Ensure extensions that are installed are the intended ones as many malicious extensions will masquerade as legitimate ones. Close out all browser sessions when finished using them to prevent any potentially malicious extensions from continuing to run.
Persistence,Compromise Client Software Binary,compromise client software binary,Ensure all application component binaries are signed by the correct application developers.
Persistence,Create Account,create account,Use multi-factor authentication for user and privileged accounts. Configure access controls and firewalls to limit access to domain controllers and systems used to create and manage accounts. Protect domain controllers by ensuring proper security configuration for critical servers. Limit the number of accounts with permissions to create other accounts. 
Persistence,Create or Modify System Process,create modify system process,"Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them. Restrict software installation to trusted repositories only and be cautious of orphaned software packages. Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root. Restrict read/write access to system-level process files to only select privileged users who have a legitimate need to manage system services. Limit privileges of user accounts and groups so that only authorized administrators can interact with system-level process changes and service configurations."
Persistence,Event Triggered Execution,event triggered execution,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root. Perform regular software updates to mitigate exploitation risk."
Persistence,External Remote Services,external remote service,"Disable or block remotely available services that may be unnecessary.  Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems. Use strong two-factor or multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials, but be aware of Multi-Factor Authentication Interception techniques for some two-factor authentication implementations. Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls."
Persistence,Hijack Execution Flow,hijack execution flow,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries. Disallow loading of remote DLLs.  Adversaries may use new payloads to execute this technique. Identify and block potentially malicious software executed through hijacking by using application control solutions also capable of blocking libraries loaded by legitimate software. Update software regularly to include patches that fix DLL side-loading vulnerabilities. Ensure proper permissions are set for Registry hives to prevent users from modifying keys for system components that may lead to privilege escalation. Limit privileges of user accounts and groups so that only authorized administrators can interact with service changes and service binary target path locations."
Persistence,Implant Internal Image,implant internal image,Limit permissions associated with creating and modifying platform images or containers based on the principle of least privilege. Periodically check the integrity of images and containers used in cloud deployments to ensure they have not been modified to include malicious software.
Persistence,Modify Authentication ProcessOffice Application Startup,modify authentication processoffice application startup,"ntegrating multi-factor authentication (MFA) as part of organizational policy can greatly reduce the risk of an adversary gaining control of valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting information. MFA can also be used to restrict access to cloud resources and APIs. "
Persistence,Pre-OS Boot,preos boot,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc. Ensure proper permissions are in place to help prevent adversary access to privileged accounts necessary to perform these actions. Patch the BIOS and EFI as necessary."
Persistence,Scheduled Task/Job,scheduled taskjob,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.  Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems.
Persistence,Server Software Component,server software component,Consider disabling software components from servers when possible to prevent abuse by adversaries. Enforce the principle of least privilege by limiting privileges of user accounts so only authorized accounts can modify and/or add server software components.
Persistence,Traffic Signaling,traffic signaling,"Disable Wake-on-LAN if it is not needed within an environment. Mitigation of some variants of this technique could be achieved through the use of stateful firewalls, depending upon how it is implemented."
Persistence,Valid Accounts,valid account,"Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges. Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead. Ensure that applications do not store sensitive data or credentials insecurely. (e.g. plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage). Implement multi-factor authentication (MFA) across all account types, including default, local, domain, and cloud accounts, to prevent unauthorized access, even if credentials are compromised."
Privilege Escalation,Abuse Elevation Control Mechanism,abuse elevation control mechanism,System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk. Perform regular software updates to mitigate exploitation risk. The sudoers file should be strictly edited such that passwords are always required and that users can't spawn risky processes as users with higher privilege.
Privilege Escalation,Access Token Manipulation,access token manipulation,Limit permissions so that users and user groups cannot create tokens.  An adversary must already have administrator level access on the local system to make full use of this technique; be sure to restrict users and accounts to the least privileges they require.
Privilege Escalation,Boot or Logon Autostart Execution,boot logon autostart execution,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Privilege Escalation,Boot or Logon Initialization Scripts,boot logon initialization script,Restrict write access to logon scripts to specific administrators.  Ensure proper permissions are set for Registry hives to prevent users from modifying keys for logon scripts that may lead to persistence.
Privilege Escalation,Create or Modify System Process,create modify system process,"Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them.  Restrict software installation to trusted repositories only and be cautious of orphaned software packages. Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.Restrict read/write access to system-level process files to only select privileged users who have a legitimate need to manage system services. "
Privilege Escalation,Domain Policy Modification,domain policy modification,Use least privilege and protect administrative access to the Domain Controller and Active Directory Federation Services (AD FS) server. Do not create service accounts with administrative privileges. 
Privilege Escalation,Escape to Host,escape host,"Remove unnecessary tools and software from containers. Use read-only containers, read-only file systems, and minimal images when possible to prevent the running of commands. Ensure containers are not running as root by default and do not use unnecessary privileges or mounted components. In Kubernetes environments, consider defining Pod Security Standards that prevent pods from running privileged containers."
Privilege Escalation,Event Triggered Execution,event triggered execution,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root. Perform regular software updates to mitigate exploitation risk."
Privilege Escalation,Exploitation for Privilege Escalation,exploitation privilege escalation,Update software regularly by employing patch management for internal enterprise endpoints and servers. Consider blocking the execution of known vulnerable drivers that adversaries may exploit to execute code in kernel mode.  Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. 
Privilege Escalation,Hijack Execution Flow,hijack execution flow,"Update software regularly to include patches that fix DLL side-loading vulnerabilities. Limit privileges of user accounts and groups so that only authorized administrators can interact with service changes and service binary target path locations. Deny execution from user directories such as file download directories and temp directories where able. Ensure proper permissions are set for Registry hives to prevent users from modifying keys for system components that may lead to privilege escalation. When possible, include hash values in manifest files to help prevent side-loading of malicious libraries."
Privilege Escalation,Process Injectio,process injectio,"Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. For example, on Windows 10, Attack Surface Reduction (ASR) rules may prevent Office applications from code injection."
Privilege Escalation,Scheduled Task/Job,scheduled taskjob,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts. Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems.
Privilege Escalation,Valid Accounts,valid account,"Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.  Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead. Ensure that applications do not store sensitive data or credentials insecurely. Regularly audit user accounts for activity and deactivate or remove any that are no longer needed."
Defense Evasion,Abuse Elevation Control Mechanism,abuse elevation control mechanism,"System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.  	
Perform regular software updates to mitigate exploitation risk. "
Defense Evasion,Access Token Manipulation,access token manipulation,be sure to restrict users and accounts to the least privileges they require.
Defense Evasion,BITS Jobs,bit job,"Modify network and/or host firewall rules, as well as other network controls, to only allow legitimate BITS traffic.  Consider limiting access to the BITS interface to specific users or groups."
Defense Evasion,Build Image on Host,build image host,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Audit images deployed within the environment to ensure they do not contain any malicious components. Ensure containers are not running as root by default."
Defense Evasion,Debugger Evasion,debugger evasion,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Defense Evasion,Deobfuscate/Decode Files or Information,deobfuscatedecode file information,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Defense Evasion,Deploy Container,deploy container,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls.  Scan images before deployment, and block those that are not in compliance with security policies. Enforce the principle of least privilege by limiting container dashboard access to only the necessary users. "
Defense Evasion,Direct Volume Access,direct volume access,"Some endpoint security solutions can be configured to block some types of behaviors related to efforts by an adversary to create backups, such as command execution or preventing API calls to backup related services. Ensure only accounts required to configure and manage backups have the privileges to do so. Monitor these accounts for unauthorized backup activity."
Defense Evasion,Domain Policy Modification,domain policy modification,Use least privilege and protect administrative access to the Domain Controller and Active Directory Federation Services (AD FS) server. Do not create service accounts with administrative privileges. Consider implementing WMI and security filtering to further tailor which users and computers a GPO will apply to.
Defense Evasion,Execution Guardrails,execution guardrail,"Execution Guardrails likely should not be mitigated with preventative controls because it may protect unintended targets from being compromised. If targeted, efforts should be focused on preventing adversary tools from running earlier in the chain of activity and on identifying subsequent malicious behavior if compromised."
Defense Evasion,Exploitation for Defense Evasion,exploitation defense evasion,Update software regularly by employing patch management for internal enterprise endpoints and servers.  Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing.
Defense Evasion,File and Directory Permissions Modification,file directory permission modification,"Ensure critical system files as well as those known to be abused by adversaries have restrictive permissions and are owned by an appropriately privileged account, especially if access is not required by users nor will inhibit system functionality. Applying more restrictive permissions to files and directories could prevent adversaries from modifying their access control lists."
Defense Evasion,Hide Artifacts,hide artifact,"Review and audit file/folder exclusions, and limit scope of exclusions to only what is required where possible. Restrict the installation of software that may be abused to create hidden desktops, such as hVNC, to user groups that require it."
Defense Evasion,Hijack Execution Flow,hijack execution flow,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries.  Install software in write-protected locations. Set directory access controls to prevent file writes to the search paths for applications, both in the folders where applications are run from and the standard library folders. Disallow loading of remote DLLs.  Update software regularly to include patches that fix DLL side-loading vulnerabilities. Ensure proper permissions are set for Registry hives to prevent users from modifying keys for system components that may lead to privilege escalation. "
Defense Evasion,Impair Defenses,impair defense,Routinely check account role permissions to ensure only expected users and roles have permission to modify defensive tools and settings. Ensure that only approved security applications are used and running on enterprise systems. Ensure proper process and file permissions are in place to prevent adversaries from disabling or interfering with security/logging services. Ensure proper Registry permissions are in place to prevent adversaries from disabling or interfering with security/logging services. 
Defense Evasion,Indicator Removal on Host,indicator removal host,Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary. Automatically forward events to a log server or data repository to prevent conditions in which the adversary can locate and manipulate data on the local system. Protect generated event files that are stored locally with proper permissions and authentication and limit opportunities for adversaries to increase privileges by preventing Privilege Escalation opportunities.
Defense Evasion,Indirect Command Execution,indirect command execution,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Defense Evasion,Masquerading,masquerading,"Anti-virus can be used to automatically quarantine suspicious files.  Implement security controls on the endpoint, such as a Host Intrusion Prevention System (HIPS), to identify and prevent execution of potentially malicious files. Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed. "
Defense Evasion,Modify Authentication Process,modify authentication process,"Integrating multi-factor authentication (MFA) as part of organizational policy can greatly reduce the risk of an adversary gaining control of valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting information. MFA can also be used to restrict access to cloud resources and APIs. "
Defense Evasion,Modify Cloud Compute Infrastructure,modify cloud compute infrastructure,"Routinely monitor user permissions to ensure only the expected users have the capability to modify cloud compute infrastructure components. Limit permissions for creating, deleting, and otherwise altering compute components in accordance with least privilege. "
Defense Evasion,Modify Registry,modify registry,Ensure proper permissions are set for Registry hives to prevent users from modifying keys for system components that may lead to privilege escalation.
Defense Evasion,Modify System Image,modify system image,"Restrict administrator accounts to as few individuals as possible, following least privilege principles. Use multi-factor authentication for user and privileged accounts. Most embedded network devices support TACACS+ and/or RADIUS. Follow vendor prescribed best practices for hardening access control. Ensure that, where available, local passwords are always encrypted, per vendor recommendations."
Defense Evasion,Network Boundary Bridging,network boundary bridging,"Upon identifying a compromised network device being used to bridge a network boundary, block the malicious packets using an unaffected network device in path, such as a firewall or a router that has not been compromised. Continue to monitor for additional activity and to ensure that the blocks are indeed effective."
Defense Evasion,Obfuscated Files or Information,obfuscated file information,"Anti-virus can be used to automatically detect and quarantine suspicious files. Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. On Windows 10+, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated payloads."
Defense Evasion,Plist File Modification,plist file modification,Ensure applications are using Apple's developer guidance which enables hardened runtime.
Defense Evasion,Pre-OS Boot,preos boot,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Use Trusted Platform Module technology and a secure or trusted boot process to prevent system integrity from being compromised. Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Ensure proper permissions are in place to help prevent adversary access to privileged accounts necessary to perform these actions. Patch the BIOS and EFI as necessary. "
Defense Evasion,Process Injection,process injection,"Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. For example, on Windows 10, Attack Surface Reduction (ASR) rules may prevent Office applications from code injection. "
Defense Evasion,Reflective Code Loading,reflective code loading,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Defense Evasion,Rogue Domain Controller,rogue domain controller,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Defense Evasion,Rootkit,rootkit,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Defense Evasion,Subvert Trust Controls,subvert trust control,"Ensure proper permissions are set for Registry hives to prevent users from modifying keys related to SIP and trust provider components. Components may still be able to be hijacked to suitable functions already present on disk if malicious modifications to Registry keys are not prevented. Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root. System settings can prevent applications from running that haven't been downloaded through the Apple Store (or other legitimate repositories) which can help mitigate some of these issues. Also enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious content."
